date,rideshr21
2021-03-01 00:00:00,124.0
2021-03-01 01:00:00,74.0
2021-03-01 02:00:00,50.0
2021-03-01 03:00:00,32.0
2021-03-01 04:00:00,49.0
2021-03-01 05:00:00,232.0
2021-03-01 06:00:00,648.0
2021-03-01 07:00:00,1099.0
2021-03-01 08:00:00,2089.0
2021-03-01 09:00:00,1812.0
2021-03-01 10:00:00,1441.0
2021-03-01 11:00:00,1568.0
2021-03-01 12:00:00,1802.0
2021-03-01 13:00:00,2122.0
2021-03-01 14:00:00,2467.0
2021-03-01 15:00:00,2777.0
2021-03-01 16:00:00,3096.0
2021-03-01 17:00:00,3769.0
2021-03-01 18:00:00,3245.0
2021-03-01 19:00:00,2050.0
2021-03-01 20:00:00,1337.0
2021-03-01 21:00:00,759.0
2021-03-01 22:00:00,499.0
2021-03-01 23:00:00,288.0
2021-03-02 00:00:00,160.0
2021-03-02 01:00:00,70.0
2021-03-02 02:00:00,55.0
2021-03-02 03:00:00,24.0
2021-03-02 04:00:00,60.0
2021-03-02 05:00:00,237.0
2021-03-02 06:00:00,903.0
2021-03-02 07:00:00,1613.0
2021-03-02 08:00:00,2376.0
2021-03-02 09:00:00,1786.0
2021-03-02 10:00:00,1253.0
2021-03-02 11:00:00,1345.0
2021-03-02 12:00:00,1547.0
2021-03-02 13:00:00,1787.0
2021-03-02 14:00:00,2026.0
2021-03-02 15:00:00,2140.0
2021-03-02 16:00:00,2471.0
2021-03-02 17:00:00,3162.0
2021-03-02 18:00:00,2903.0
2021-03-02 19:00:00,2123.0
2021-03-02 20:00:00,1265.0
2021-03-02 21:00:00,767.0
2021-03-02 22:00:00,614.0
2021-03-02 23:00:00,356.0
2021-03-03 00:00:00,206.0
2021-03-03 01:00:00,78.0
2021-03-03 02:00:00,56.0
2021-03-03 03:00:00,35.0
2021-03-03 04:00:00,67.0
2021-03-03 05:00:00,302.0
2021-03-03 06:00:00,1140.0
2021-03-03 07:00:00,2209.0
2021-03-03 08:00:00,3182.0
2021-03-03 09:00:00,2361.0
2021-03-03 10:00:00,2085.0
2021-03-03 11:00:00,2364.0
2021-03-03 12:00:00,2612.0
2021-03-03 13:00:00,3162.0
2021-03-03 14:00:00,3620.0
2021-03-03 15:00:00,3923.0
2021-03-03 16:00:00,4393.0
2021-03-03 17:00:00,5178.0
2021-03-03 18:00:00,4292.0
2021-03-03 19:00:00,2872.0
2021-03-03 20:00:00,1826.0
2021-03-03 21:00:00,1205.0
2021-03-03 22:00:00,913.0
2021-03-03 23:00:00,615.0
2021-03-04 00:00:00,293.0
2021-03-04 01:00:00,140.0
2021-03-04 02:00:00,69.0
2021-03-04 03:00:00,49.0
2021-03-04 04:00:00,71.0
2021-03-04 05:00:00,325.0
2021-03-04 06:00:00,1166.0
2021-03-04 07:00:00,2276.0
2021-03-04 08:00:00,3134.0
2021-03-04 09:00:00,2288.0
2021-03-04 10:00:00,1978.0
2021-03-04 11:00:00,1958.0
2021-03-04 12:00:00,2199.0
2021-03-04 13:00:00,2336.0
2021-03-04 14:00:00,2629.0
2021-03-04 15:00:00,2920.0
2021-03-04 16:00:00,3095.0
2021-03-04 17:00:00,3651.0
2021-03-04 18:00:00,3134.0
2021-03-04 19:00:00,2191.0
2021-03-04 20:00:00,1295.0
2021-03-04 21:00:00,768.0
2021-03-04 22:00:00,609.0
2021-03-04 23:00:00,338.0
2021-03-05 00:00:00,188.0
2021-03-05 01:00:00,114.0
2021-03-05 02:00:00,63.0
2021-03-05 03:00:00,61.0
2021-03-05 04:00:00,107.0
2021-03-05 05:00:00,247.0
2021-03-05 06:00:00,935.0
2021-03-05 07:00:00,1502.0
2021-03-05 08:00:00,2235.0
2021-03-05 09:00:00,1805.0
2021-03-05 10:00:00,1570.0
2021-03-05 11:00:00,1637.0
2021-03-05 12:00:00,2005.0
2021-03-05 13:00:00,2257.0
2021-03-05 14:00:00,2536.0
2021-03-05 15:00:00,2689.0
2021-03-05 16:00:00,2902.0
2021-03-05 17:00:00,3420.0
2021-03-05 18:00:00,3063.0
2021-03-05 19:00:00,2278.0
2021-03-05 20:00:00,1348.0
2021-03-05 21:00:00,867.0
2021-03-05 22:00:00,614.0
2021-03-05 23:00:00,659.0
