index,startName,startLat,startLong,count,per_count
0,12 Ave & W 40 St,40.76087502,-74.00277668,31177,1
1,West St & Chambers St,40.71754834,-74.01322069,30359,1
2,1 Ave & E 68 St,40.76500525,-73.95818491,27649,0.9
3,Broadway & W 60 St,40.76915505,-73.98191841,26335,0.85
4,Pier 40 - Hudson River Park,40.72771408,-74.01129574,24784,0.8
5,Christopher St & Greenwich St,40.73291553,-74.00711384,22804,0.75
6,Central Park S & 6 Ave,40.76590936,-73.97634151,22174,0.75
7,E 17 St & Broadway,40.73704984,-73.99009296,21783,0.7
8,S 5 Pl & S 5 St,40.710451,-73.960876,21531,0.7
9,E 13 St & Avenue A,40.72966729,-73.98067966,21367,0.7
10,W 21 St & 6 Ave,40.74173969,-73.99415556,21162,0.7
11,5 Ave & E 73 St,40.77282817,-73.96685276,19697,0.65
12,Broadway & E 22 St,40.7403432,-73.98955109,19665,0.65
13,Little West St & 1 Pl,40.70569254,-74.01677685,19261,0.65
14,E 33 St & 1 Ave,40.74322681,-73.97449784,19192,0.65
15,Broadway & E 14 St,40.73454567,-73.99074142,18894,0.65
16,Broadway & W 25 St,40.74286877,-73.98918629,18855,0.65
17,FDR Drive & E 35 St,40.744219,-73.97121214,18849,0.65
18,Central Park West & W 72 St,40.77579377,-73.97620574,18754,0.65
19,Carmine St & 6 Ave,40.73038599,-74.00214988,18466,0.6
20,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,18231,0.6
21,Broadway & W 56 St,40.7652654,-73.98192338,17962,0.6
22,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,17619,0.6
23,Kent Ave & N 7 St,40.72036775,-73.96165073,17567,0.6
24,Grand St & Elizabeth St,40.718822,-73.99596,17474,0.6
25,5 Ave & E 88 St,40.78307,-73.95939,16815,0.55
26,Central Park West & W 68 St,40.7734066,-73.97782542,16812,0.55
27,West Drive & Prospect Park West,40.66106337,-73.97945255,16758,0.55
28,12 Ave & W 125 St,40.818299,-73.960405,16738,0.55
29,8 Ave & W 52 St,40.76370739,-73.9851615,16689,0.55
30,11 Ave & W 41 St,40.76030096,-73.99884222,16493,0.55
31,2 Ave & E 31 St,40.74290902,-73.97706058,16426,0.55
32,Central Park West & W 85 St,40.78472675,-73.96961715,16390,0.55
33,University Pl & E 14 St,40.734814,-73.992085,16383,0.55
34,9 Ave & W 22 St,40.7454973,-74.00197139,16228,0.55
35,W 4 St & 7 Ave S,40.73401143,-74.00293877,16117,0.55
36,1 Ave & E 62 St,40.7612274,-73.96094022,16099,0.55
37,W 24 St & 7 Ave,40.74487634,-73.99529885,16094,0.55
38,1 Ave & E 78 St,40.77140426,-73.9535166,15928,0.55
39,E 39 St & 2 Ave,40.74780373,-73.9734419,15838,0.55
40,Pershing Square North,40.751873,-73.977706,15804,0.55
41,E 20 St & 2 Ave,40.73587678,-73.98205027,15705,0.55
42,E 25 St & 2 Ave,40.73912601,-73.97973776,15571,0.5
43,Clinton St & Grand St,40.71559509,-73.9870295,15487,0.5
44,Centre St & Chambers St,40.71273266,-74.0046073,15483,0.5
45,6 Ave & W 33 St,40.74901271,-73.98848395,15482,0.5
46,8 Ave & W 33 St,40.751551,-73.993934,15179,0.5
47,7 Ave & Central Park South,40.76674056,-73.97906899,15172,0.5
48,E 10 St & Avenue A,40.72740794,-73.98142006,14853,0.5
49,W 15 St & 7 Ave,40.73935542,-73.99931783,14844,0.5
50,W 22 St & 10 Ave,40.74691959,-74.00451887,14831,0.5
51,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,14754,0.5
52,Columbus Ave & W 72 St,40.7770575,-73.97898475,14746,0.5
53,W 52 St & 11 Ave,40.76727216,-73.99392888,14667,0.5
54,W 20 St & 11 Ave,40.746745,-74.007756,14580,0.5
55,E 31 St & 3 Ave,40.74394314,-73.97966069,14501,0.5
56,E 11 St & 2 Ave,40.73047309,-73.98672378,14464,0.5
57,West St & Liberty St,40.711444,-74.014847,14411,0.5
58,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,14369,0.5
59,Queens Plaza North & Crescent St,40.75110165,-73.94073717,14291,0.5
60,W 38 St & 8 Ave,40.75466591,-73.99138152,14269,0.5
61,Lafayette St & E 8 St,40.73020661,-73.99102628,14263,0.5
62,MacDougal St & Prince St,40.72710258,-74.00297088,14070,0.5
63,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,14004,0.45
64,West Thames St,40.70834698,-74.01713445,13881,0.45
65,9 Ave & W 45 St,40.76019252,-73.9912551,13866,0.45
66,S 4 St & Wythe Ave,40.71285887,-73.96590294,13819,0.45
67,Cleveland Pl & Spring St,40.72210379,-73.99724901,13713,0.45
68,Old Fulton St,40.70277159,-73.99383605,13612,0.45
69,E 23 St & 1 Ave,40.736502,-73.97809472,13480,0.45
70,E 7 St & Avenue A,40.72621788,-73.98379855,13448,0.45
71,8 Ave & W 31 St,40.75058535,-73.99468482,13434,0.45
72,W 41 St & 8 Ave,40.75640548,-73.9900262,13404,0.45
73,E 11 St & 1 Ave,40.72953837,-73.98426726,13258,0.45
74,W 47 St & 10 Ave,40.76269882,-73.99301222,13143,0.45
75,Central Park W & W 96 St,40.79127,-73.964839,13093,0.45
76,W 26 St & 8 Ave,40.74734825,-73.99723551,12935,0.45
77,W 22 St & 8 Ave,40.74475148,-73.99915362,12837,0.45
78,W 37 St & 10 Ave,40.75660359,-73.9979009,12753,0.45
79,Norfolk St & Broome St,40.7172274,-73.98802084,12750,0.45
80,E 15 St & 3 Ave,40.734232,-73.986923,12695,0.45
81,Lenox Ave & W 111 St,40.7987859,-73.9523,12674,0.45
82,E 27 St & 1 Ave,40.739445,-73.976806,12660,0.45
83,Riverside Dr & W 72 St,40.78057799,-73.98562431,12631,0.45
84,W 43 St & 10 Ave,40.76009437,-73.99461843,12606,0.45
85,Mott St & Prince St,40.72317958,-73.99480012,12571,0.45
86,Forsyth St & Canal St,40.7158155,-73.99422366,12443,0.4
87,Barrow St & Hudson St,40.73172428,-74.00674436,12412,0.4
88,W 49 St & 8 Ave,40.76227205,-73.98788205,12395,0.4
89,6 Ave & Broome St,40.72430832,-74.00473036,12250,0.4
90,W 17 St & 8 Ave,40.74177603,-74.00149746,12245,0.4
91,Sullivan St & Washington Sq,40.73047747,-73.99906065,12153,0.4
92,E 85 St & 3 Ave,40.77801203,-73.95407149,12140,0.4
93,Canal St & Rutgers St,40.71427487,-73.98990025,12134,0.4
94,Vesey Pl & River Terrace,40.7153379,-74.01658354,12063,0.4
95,6 Ave & W 34 St,40.74964,-73.98805,12003,0.4
96,E 6 St & Avenue D,40.72228087,-73.97668709,11922,0.4
97,5 Ave & E 78 St,40.77632142,-73.96427393,11922,0.4
98,E 72 St & York Ave,40.76663814,-73.95348296,11864,0.4
99,University Pl & E 8 St,40.73143724,-73.99490342,11863,0.4
100,South St & Gouverneur Ln,40.70355377,-74.00670227,11781,0.4
101,2 Ave & E 72 St,40.76876203,-73.95840794,11686,0.4
102,E 32 St & Park Ave,40.7457121,-73.98194829,11653,0.4
103,W 33 St & 7 Ave,40.75019995,-73.99093085,11567,0.4
