index,endName,endLat,endLong,count,per_count
0,Pershing Square North,40.751873,-73.977706,53671,1
1,Broadway & E 22 St,40.7403432,-73.98955109,43491,0.85
2,West St & Chambers St,40.71754834,-74.01322069,42095,0.8
3,8 Ave & W 31 St,40.75058535,-73.99468482,41968,0.8
4,E 17 St & Broadway,40.73704984,-73.99009296,41594,0.8
5,Broadway & E 14 St,40.73454567,-73.99074142,40140,0.75
6,12 Ave & W 40 St,40.76087502,-74.00277668,38029,0.75
7,Broadway & W 60 St,40.76915505,-73.98191841,35953,0.7
8,Christopher St & Greenwich St,40.73291553,-74.00711384,35366,0.7
9,W 20 St & 11 Ave,40.746745,-74.007756,35160,0.7
10,W 33 St & 7 Ave,40.75019995,-73.99093085,32865,0.65
11,W 21 St & 6 Ave,40.74173969,-73.99415556,32281,0.65
12,Lafayette St & E 8 St,40.73020661,-73.99102628,32155,0.6
13,8 Ave & W 33 St,40.751551,-73.993934,32032,0.6
14,Carmine St & 6 Ave,40.73038599,-74.00214988,31248,0.6
15,South End Ave & Liberty St,40.711512,-74.015756,31062,0.6
16,W 41 St & 8 Ave,40.75640548,-73.9900262,30173,0.6
17,Broadway & W 25 St,40.74286877,-73.98918629,29809,0.6
18,W 31 St & 7 Ave,40.749156,-73.9916,29640,0.6
19,W 38 St & 8 Ave,40.75466591,-73.99138152,29477,0.55
20,Cleveland Pl & Spring St,40.72210379,-73.99724901,29196,0.55
21,Cooper Square & Astor Pl,40.72951496,-73.9907527,28679,0.55
22,W 18 St & 6 Ave,40.73971301,-73.99456405,28449,0.55
23,1 Ave & E 16 St,40.73221853,-73.98165557,28385,0.55
24,E 47 St & Park Ave,40.75510267,-73.97498696,28230,0.55
25,Central Park S & 6 Ave,40.76590936,-73.97634151,27740,0.55
26,Great Jones St,40.72743423,-73.99379025,27652,0.55
27,Grand St & Elizabeth St,40.718822,-73.99596,27569,0.55
28,E 24 St & Park Ave S,40.74096374,-73.98602213,27397,0.55
29,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,27260,0.55
30,Broadway & W 29 St,40.7462009,-73.98855723,26577,0.5
31,E 10 St & Avenue A,40.72740794,-73.98142006,26428,0.5
32,W 34 St & 11 Ave,40.75594159,-74.0021163,26364,0.5
33,Broadway & W 41 St,40.75513557,-73.98658032,26322,0.5
34,E 13 St & Avenue A,40.72966729,-73.98067966,26214,0.5
35,Washington St & Gansevoort St,40.739323,-74.008119,25813,0.5
36,W 22 St & 10 Ave,40.74691959,-74.00451887,25733,0.5
37,Vesey Pl & River Terrace,40.7153379,-74.01658354,25658,0.5
38,North Moore St & Greenwich St,40.72019521,-74.01030064,25120,0.5
39,Pier 40 - Hudson River Park,40.72771408,-74.01129574,24901,0.5
40,W 52 St & 6 Ave,40.76132983,-73.97982001,24477,0.5
41,W 24 St & 7 Ave,40.74487634,-73.99529885,24210,0.5
42,W 22 St & 8 Ave,40.74475148,-73.99915362,24035,0.45
43,MacDougal St & Prince St,40.72710258,-74.00297088,23932,0.45
44,Allen St & Stanton St,40.722055,-73.989111,23738,0.45
45,Broadway & W 49 St,40.76068327,-73.98452729,23682,0.45
