index,endName,endLat,endLong,count,per_count
0,12 Ave & W 40 St,40.76087502,-74.00277668,31926,1
1,West St & Chambers St,40.71754834,-74.01322069,30853,1
2,1 Ave & E 68 St,40.76500525,-73.95818491,27702,0.9
3,Broadway & W 60 St,40.76915505,-73.98191841,26312,0.85
4,Pier 40 - Hudson River Park,40.72771408,-74.01129574,24769,0.8
5,Christopher St & Greenwich St,40.73291553,-74.00711384,23859,0.75
6,E 17 St & Broadway,40.73704984,-73.99009296,23036,0.75
7,Central Park S & 6 Ave,40.76590936,-73.97634151,22240,0.7
8,S 5 Pl & S 5 St,40.710451,-73.960876,21837,0.7
9,E 13 St & Avenue A,40.72966729,-73.98067966,21529,0.7
10,W 21 St & 6 Ave,40.74173969,-73.99415556,21377,0.7
11,Broadway & E 22 St,40.7403432,-73.98955109,20289,0.65
12,E 33 St & 1 Ave,40.74322681,-73.97449784,19931,0.65
13,5 Ave & E 73 St,40.77282817,-73.96685276,19625,0.65
14,Little West St & 1 Pl,40.70569254,-74.01677685,19346,0.65
15,Carmine St & 6 Ave,40.73038599,-74.00214988,19307,0.65
16,Broadway & W 25 St,40.74286877,-73.98918629,19293,0.65
17,Broadway & E 14 St,40.73454567,-73.99074142,18867,0.6
18,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,18859,0.6
19,FDR Drive & E 35 St,40.744219,-73.97121214,18748,0.6
20,Central Park West & W 72 St,40.77579377,-73.97620574,18660,0.6
21,Kent Ave & N 7 St,40.72036775,-73.96165073,18332,0.6
22,Grand St & Elizabeth St,40.718822,-73.99596,17644,0.6
23,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,17616,0.6
24,University Pl & E 14 St,40.734814,-73.992085,17456,0.55
25,Broadway & W 56 St,40.7652654,-73.98192338,17082,0.55
26,5 Ave & E 88 St,40.78307,-73.95939,16926,0.55
27,West Drive & Prospect Park West,40.66106337,-73.97945255,16838,0.55
28,12 Ave & W 125 St,40.818299,-73.960405,16719,0.55
29,9 Ave & W 22 St,40.7454973,-74.00197139,16695,0.55
30,2 Ave & E 31 St,40.74290902,-73.97706058,16689,0.55
31,8 Ave & W 52 St,40.76370739,-73.9851615,16634,0.55
32,Central Park West & W 68 St,40.7734066,-73.97782542,16523,0.55
33,11 Ave & W 41 St,40.76030096,-73.99884222,16505,0.55
34,Central Park West & W 85 St,40.78472675,-73.96961715,16282,0.55
35,W 24 St & 7 Ave,40.74487634,-73.99529885,16271,0.55
