index,endName,endLat,endLong,count,per_count
175,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,14681,0.35
176,Sullivan St & Washington Sq,40.73047747,-73.99906065,14652,0.35
177,E 20 St & Park Ave,40.73827428,-73.98751968,14602,0.35
178,E 84 St & 1 Ave,40.77565541,-73.95068615,14588,0.35
179,Howard St & Centre St,40.71910537,-73.99973337,14568,0.35
180,W 54 St & 11 Ave,40.768333,-73.992573,14546,0.35
181,Central Park West & W 76 St,40.77896784,-73.97374737,14488,0.35
182,E 2 St & Avenue C,40.7208736,-73.98085795,14479,0.35
183,E 1 St & 1 Ave,40.72335598,-73.98864985,14430,0.35
184,W 44 St & 11 Ave,40.762009,-73.996975,14424,0.35
185,W 42 St & 8 Ave,40.7575699,-73.99098507,14419,0.35
186,MacDougal St & Washington Sq,40.73226398,-73.99852205,14381,0.35
187,E 11 St & Avenue B,40.72746421,-73.97950418,14376,0.35
188,1 Ave & E 6 St,40.72633086,-73.9861688,14138,0.35
189,Atlantic Ave & Furman St,40.69165183,-73.9999786,14086,0.35
190,W Broadway & Spring St,40.72494672,-74.00165856,14025,0.35
191,Forsyth St\t& Grand St,40.71779818,-73.99316132,14007,0.35
192,W 64 St & Thelonious Monk Circle,40.77515953,-73.98918696,13916,0.35
193,W 29 St & 9 Ave,40.7500727,-73.99839279,13896,0.35
194,Rivington St & Ridge St,40.71850211,-73.98329859,13807,0.35
195,Murray St & Greenwich St,40.71485151,-74.01122332,13675,0.35
196,Hudson St & W 13 St,40.74005709,-74.00527418,13652,0.35
197,Bayard St & Baxter St,40.71602118,-73.99974372,13611,0.35
198,W 44 St & 5 Ave,40.75500254,-73.98014437,13585,0.35
199,W 100 St & Broadway,40.7973721,-73.97041192,13568,0.35
200,W 11 St & 6 Ave,40.73532427,-73.99800419,13562,0.35
201,W 67 St & Broadway,40.77492513,-73.98266566,13561,0.35
202,Hanson Pl & Ashland Pl,40.68506807,-73.9779076,13546,0.35
203,Broadway & Berry St,40.71044554,-73.96525063,13538,0.35
204,Rivington St & Chrystie St,40.72110063,-73.9919254,13500,0.35
205,Milton St & Franklin St,40.72906,-73.95779,13447,0.35
206,Thompson St & Bleecker St,40.72840059,-73.99968781,13335,0.35
207,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,13331,0.35
208,W 50 St & 9 Ave,40.76360468,-73.98917958,13201,0.35
209,9 Ave & W 18 St,40.74317449,-74.00366443,13174,0.35
210,S 3 St & Bedford Ave,40.71260486,-73.96264403,13164,0.35
211,E 51 St & 2 Ave,40.755293,-73.967641,13137,0.35
212,W 17 St & 8 Ave,40.74177603,-74.00149746,13108,0.35
213,W 26 St & 10 Ave,40.74971775,-74.00295035,13106,0.35
214,Stanton St & Chrystie St,40.72229346,-73.99147535,13087,0.35
215,Washington Pl & Broadway,40.72903917,-73.99404649,13005,0.35
216,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,12994,0.35
217,Grand St & Greene St,40.72170005,-74.00238141,12883,0.35
218,Lexington Ave & E 29 St,40.74311555,-73.98215353,12850,0.35
219,5 Ave & E 103 St,40.7922553,-73.95249933,12690,0.35
220,Murray St & West St,40.7149787,-74.013012,12655,0.35
221,5 Ave & E 63 St,40.766368,-73.971518,12634,0.35
222,Berry St & N 8 St,40.7190095,-73.95852515,12618,0.35
223,Forsyth St & Broome St,40.71893904,-73.99266288,12594,0.3
224,E 20 St & FDR Drive,40.73314259,-73.97573881,12567,0.3
225,Madison Ave & E 26 St,40.74268473,-73.98671329,12537,0.3
226,Suffolk St & Stanton St,40.72066442,-73.98517977,12468,0.3
227,E 12 St & 3 Ave,40.73223272,-73.98889957,12451,0.3
228,W 40 St & 5 Ave,40.752269,-73.982079,12444,0.3
229,E 89 St & York Ave,40.7779453,-73.946041,12420,0.3
230,E 9 St & Avenue C,40.72521311,-73.97768752,12397,0.3
231,W 82 St & Central Park West,40.78275,-73.97137,12397,0.3
232,Clark St & Henry St,40.69760127,-73.99344559,12302,0.3
233,E 53 St & Lexington Ave,40.75828065,-73.97069431,12196,0.3
234,W 37 St & 5 Ave,40.75038009,-73.98338988,12164,0.3
235,E 30 St & Park Ave S,40.74444921,-73.98303529,12151,0.3
236,W 36 St & 9 Ave,40.75462324,-73.99516761,12132,0.3
237,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,12115,0.3
238,W 84 St & Columbus Ave,40.78499979,-73.97283406,12064,0.3
239,W 106 St & Central Park West,40.7981856,-73.9605909,12048,0.3
240,E 47 St & Park Ave,40.75510267,-73.97498696,12044,0.3
241,2 Ave & E 96 St,40.7839636,-73.9471673,11994,0.3
242,E 91 St & 2 Ave,40.7811223,-73.94965589,11861,0.3
243,Fulton St & Pearl St,40.70772198,-74.00438637,11851,0.3
244,W 42 St & Dyer Ave,40.75898481,-73.99379969,11817,0.3
245,Madison Ave & E 82 St,40.7781314,-73.96069399,11789,0.3
246,E 25 St & 1 Ave,40.7381765,-73.97738662,11748,0.3
247,Cherry St,40.71219906,-73.97948148,11738,0.3
248,Union Ave & N 12 St,40.71924,-73.95242,11733,0.3
249,South St & Gouverneur Ln,40.70355377,-74.00670227,11686,0.3
250,W 100 St & Manhattan Ave,40.795,-73.9645,11584,0.3
251,South St & Whitehall St,40.70122128,-74.01234218,11583,0.3
252,Cathedral Pkwy & Broadway,40.804213,-73.96699104,11537,0.3
253,E 97 St & Madison Ave,40.787801,-73.953559,11484,0.3
254,W 52 St & 11 Ave,40.76727216,-73.99392888,11423,0.3
255,W 95 St & Broadway,40.7937704,-73.971888,11401,0.3
256,Spring St & Hudson St,40.72583997,-74.0076533,11394,0.3
257,E 58 St & Madison Ave,40.76302594,-73.97209525,11349,0.3
258,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,11316,0.3
259,Bergen St & Smith St,40.6867443,-73.99063168,11271,0.3
260,Riverside Dr & W 104 St,40.8013434,-73.97114574,11186,0.3
261,William St & Pine St,40.70717936,-74.00887308,11155,0.3
262,Hudson St & Reade St,40.71625008,-74.0091059,11094,0.3
263,Driggs Ave & N 9 St,40.71816969,-73.95520136,11062,0.3
264,3 Ave & E 62 St,40.76312584,-73.96526895,11061,0.3
265,Lenox Ave & W 126 St,40.808442,-73.9452087,11049,0.3
266,Perry St & Greenwich Ave,40.735918,-74.000939,11017,0.3
267,Riverside Dr & W 82 St,40.78720869,-73.98128127,10961,0.3
268,E 56 St & 3 Ave,40.75934501,-73.96759673,10952,0.3
269,W 89 St & Columbus Ave,40.7882213,-73.97041561,10936,0.3
270,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,10887,0.3
271,3 St & Prospect Park West,40.668132,-73.97363831,10885,0.3
272,Pershing Square South,40.751581,-73.97791,10817,0.3
273,Avenue D & E 3 St,40.72082834,-73.97793172,10791,0.3
274,Grand St & Havemeyer St,40.71286844,-73.95698119,10775,0.3
275,W 56 St & 10 Ave,40.768254,-73.988639,10772,0.3
276,Gansevoort St & Hudson St,40.7394482,-74.00507033,10763,0.3
277,E 48 St & 5 Ave,40.75724568,-73.97805914,10745,0.3
278,W 76 St & Columbus Ave,40.78018397,-73.97728533,10696,0.3
279,E 55 St & 2 Ave,40.75797322,-73.96603308,10610,0.3
280,Pearl St & Hanover Square,40.7047177,-74.00926027,10597,0.3
281,Bank St & Washington St,40.7361967,-74.00859207,10553,0.3
282,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,10548,0.3
283,Franklin St & W Broadway,40.71911552,-74.00666661,10528,0.3
284,E 81 St & 2 Ave,40.77477945,-73.95427465,10476,0.25
285,Court St & State St,40.6902375,-73.99203074,10474,0.25
286,Old Fulton St,40.70277159,-73.99383605,10461,0.25
287,W 46 St & 11 Ave,40.76341379,-73.99667444,10445,0.25
288,W 51 St & 6 Ave,40.7606597,-73.98042047,10365,0.25
289,Kent Ave & S 11 St,40.70764494,-73.96841526,10336,0.25
290,E 14 St & Avenue B,40.72938685,-73.97772429,10328,0.25
291,E 51 St & 1 Ave,40.75455731,-73.96592976,10311,0.25
292,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,10258,0.25
293,Jay St & York St,40.70140317,-73.9867267,10243,0.25
294,Watts St & Greenwich St,40.72405549,-74.00965965,10227,0.25
295,Fulton St & Adams St,40.69241829,-73.98949474,10195,0.25
296,E 89 St & 3 Ave,40.7806284,-73.9521667,10192,0.25
297,E 11 St & 2 Ave,40.73047309,-73.98672378,10186,0.25
298,E 43 St & 2 Ave,40.75022392,-73.97121414,10123,0.25
299,St. Nicholas Ave & W 126 St,40.8114323,-73.9518776,10099,0.25
300,E 58 St &  1 Ave (NW Corner),40.759125,-73.962658,10086,0.25
301,E 47 St & 2 Ave,40.75323098,-73.97032517,10067,0.25
302,E 81 St & York Ave,40.7728384,-73.94989233,10063,0.25
303,Centre St & Worth St,40.71494807,-74.00234482,10059,0.25
304,E 16 St & Irving Pl,40.73536706,-73.98797393,10042,0.25
305,W 15 St & 10 Ave,40.74275383,-74.00747359,10041,0.25
306,E 84 St & Park Ave,40.77862688,-73.95772073,10001,0.25
307,E 3 St & 1 Ave,40.72467721,-73.98783413,9965,0.25
308,W 87 St & West End Ave,40.789622,-73.97757,9944,0.25
309,E 48 St & 3 Ave,40.7546011,-73.97187886,9932,0.25
310,Broadway & W 36 St,40.75097711,-73.98765428,9905,0.25
311,E 91 St & Park Ave,40.7835016,-73.955327,9903,0.25
312,W 87 St & Amsterdam Ave,40.78839,-73.9747,9880,0.25
313,W 84 St & Broadway,40.7867947,-73.977112,9846,0.25
314,Pike St & Monroe St,40.71173107,-73.99193043,9838,0.25
315,Clinton Ave & Myrtle Ave,40.693261,-73.968896,9837,0.25
316,Albany St & Greenwich St,40.709267,-74.013247,9796,0.25
317,Spruce St & Nassau St,40.71146364,-74.00552427,9766,0.25
318,1 Ave & E 44 St,40.75001986,-73.96905301,9720,0.25
319,Hope St & Union Ave,40.71167351,-73.95141312,9718,0.25
320,Schermerhorn St & Bond St,40.68841743,-73.98451656,9652,0.25
321,Division St & Bowery,40.714193,-73.996732,9582,0.25
322,12 Ave & W 125 St,40.818299,-73.960405,9582,0.25
323,W 110 St & Amsterdam Ave,40.802692,-73.96295,9580,0.25
324,E 77 St & 3 Ave,40.77314236,-73.95856158,9547,0.25
325,N 12 St & Bedford Ave,40.72079821,-73.95484712,9537,0.25
326,Stagg St & Union Ave,40.70877084,-73.95095259,9524,0.25
327,Fulton St & William St,40.70955958,-74.00653609,9496,0.25
328,W 10 St & Washington St,40.73342399,-74.00851496,9476,0.25
329,Clinton St\t& Cherry St,40.71147139,-73.98672603,9449,0.25
330,Pleasant Ave & E 116 St,40.7949879,-73.9333349,9393,0.25
331,E 53 St & Madison Ave,40.7597108,-73.97402311,9392,0.25
332,Pike St & E Broadway,40.71406667,-73.99293911,9355,0.25
333,Franklin St & Dupont St,40.73564,-73.95866,9350,0.25
334,Bond St & Fulton St,40.68962189,-73.98304269,9346,0.25
335,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,9345,0.25
336,E 63 St & 3 Ave,40.763954,-73.9646,9341,0.25
337,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,9326,0.25
338,E 44 St & Lexington Ave,40.752643,-73.974996,9303,0.25
339,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,9284,0.25
340,46 Ave & 5 St,40.74731,-73.95451,9234,0.25
341,E 76 St & Park Ave,40.773763,-73.96222088,9201,0.25
342,E 54 St & 1 Ave,40.756265,-73.964179,9176,0.25
343,W Broadway & W Houston St,40.726378,-74.000472,9131,0.25
344,Lawrence St & Willoughby St,40.69236178,-73.98631746,9096,0.25
345,E 65 St & 2 Ave,40.76471852,-73.9622207,9085,0.25
346,6 Ave & Canal St,40.72243797,-74.00566443,9042,0.25
347,Wall St & South St,40.70437,-74.00637,8964,0.25
348,Graham Ave & Conselyea St,40.715143,-73.944507,8961,0.25
349,Adam Clayton Powell Blvd & W 126 St,40.80949535,-73.94776493,8958,0.25
350,E 5 St & Cooper Sq,40.72769,-73.990993,8942,0.25
351,Prospect Park West & 8 St,40.66514682,-73.97637606,8925,0.25
352,Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,8899,0.25
353,3 Ave & Schermerhorn St,40.68683208,-73.9796772,8889,0.25
354,Reade St & Broadway,40.71450451,-74.00562789,8860,0.25
355,1 Ave & E 94 St,40.7817212,-73.94594,8851,0.25
356,Jay St & Tech Pl,40.695065,-73.987167,8814,0.25
357,E 88 St & Park Ave,40.7814107,-73.95595908,8792,0.25
358,7 Ave & Park Pl,40.6776147,-73.97324283,8788,0.25
359,W 47 St & 6 Ave,40.758397,-73.98255,8778,0.25
360,Riverside Dr & W 91 St,40.79313481,-73.97700369,8712,0.25
361,St James Pl & Oliver St,40.71307916,-73.99851193,8700,0.25
362,Roosevelt Island Tramway,40.757284,-73.9536,8667,0.25
363,Park Ave & E 124 St,40.8045555,-73.9396861,8646,0.25
364,8 Ave & W 27 St,40.747968,-73.996637,8645,0.25
365,E 56 St & Madison Ave,40.761573,-73.972628,8639,0.25
366,W 36 St & 7 Ave,40.752149,-73.989539,8637,0.25
367,E 110 St & Madison Ave,40.7961535,-73.94782145,8606,0.25
368,W 74 St & Columbus Ave,40.7785669,-73.97754961,8568,0.25
369,E 75 St & 3 Ave,40.77112927,-73.95772297,8567,0.25
370,Scholes St & Manhattan Ave,40.70870368,-73.9448625,8565,0.25
371,McGuinness Blvd & Eagle St,40.73555,-73.95284,8562,0.25
372,Berkeley Pl & 7 Ave,40.67514684,-73.97523209,8510,0.25
373,Cliff St & Fulton St,40.70838,-74.00495,8496,0.25
374,Leonard St & Church St,40.717571,-74.005549,8489,0.25
375,West End Ave & W 94 St,40.7941654,-73.974124,8472,0.25
376,Hicks St & Montague St,40.69512845,-73.99595065,8462,0.25
377,Lenox Ave & W 117 St,40.8025566,-73.9490782,8412,0.25
378,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308,8374,0.2
379,Delancey St & Eldridge St,40.719383,-73.991479,8355,0.2
380,W 52 St & 6 Ave,40.76132983,-73.97982001,8352,0.2
381,Graham Ave & Grand St,40.711863,-73.944024,8319,0.2
382,Henry St & Atlantic Ave,40.69089272,-73.99612349,8295,0.2
383,Huron St & Franklin St,40.73266,-73.95826,8250,0.2
384,Flushing Ave & Vanderbilt Ave,40.69795032,-73.9707756,8249,0.2
385,Pearl St & Peck Slip,40.708485,-74.002751,8243,0.2
386,Catherine St & Monroe St,40.71117444,-73.99682619,8226,0.2
387,Front St & Jay St,40.702461,-73.986842,8183,0.2
388,Bus Slip & State St,40.701907,-74.013942,8176,0.2
389,Broadway & W 37 St,40.75172632,-73.98753523,8164,0.2
390,Central Park W & W 103 St,40.79603684,-73.96158904,8146,0.2
391,E 102 St & 1 Ave,40.7869946,-73.94164802,8141,0.2
392,Washington St & Barrow St,40.73191132,-74.00876909,8135,0.2
393,E 27 St & Park Ave S,40.7427518,-73.98471572,8135,0.2
394,E 72 St & Park Ave,40.77118288,-73.96409422,8134,0.2
395,5 Ave & 3 St,40.6728155,-73.98352355,8124,0.2
396,Bedford Ave & Bergen St,40.676368,-73.952918,8086,0.2
397,Greenwich St & Perry St,40.73498,-74.00697,7982,0.2
398,S 4 St & Rodney St,40.70934,-73.95608,7976,0.2
399,Madison Av & E 51 St,40.75863,-73.97513,7973,0.2
400,Grove St PATH,40.71958612,-74.04311746,7962,0.2
401,Liberty St & Nassau St,40.70858894,-74.00935482,7958,0.2
402,John St & William St,40.70862144,-74.00722156,7939,0.2
403,W 92 St & Broadway,40.7921,-73.9739,7936,0.2
404,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,7932,0.2
405,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,7931,0.2
