index,startName,startLat,startLong,count,per_count
0,E 17 St & Broadway,40.737049,-73.990092,36252,1
1,W 21 St & 6 Ave,40.741739,-73.994155,35492,1
2,1 Ave & E 68 St,40.765005,-73.958184,35253,1
3,West St & Liberty St,40.711444,-74.014847,34276,0.95
4,West St & Chambers St,40.717548,-74.01322,32696,0.95
5,Broadway & W 25 St,40.742868,-73.989186,32303,0.9
6,7 Ave & Central Park South,40.76674,-73.979068,31070,0.9
7,Pershing Square North,40.751873,-73.977706,30196,0.85
8,Grand St & Elizabeth St,40.718822,-73.99596,29376,0.85
9,University Pl & E 14 St,40.734814,-73.992085,29122,0.85
10,Central Park S & 6 Ave,40.765909,-73.976341,27888,0.8
11,Cleveland Pl & Spring St,40.722103,-73.997249,27507,0.8
12,12 Ave & W 40 St,40.760875,-74.002776,26785,0.75
13,6 Ave & W 34 St,40.74964,-73.98805,26644,0.75
14,E 13 St & Avenue A,40.729667,-73.980679,26420,0.75
15,W 30 St & 10 Ave,40.752694,-74.002353,26085,0.75
16,9 Ave & W 22 St,40.745497,-74.001971,26030,0.75
17,8 Ave & W 52 St,40.763707,-73.985161,25700,0.75
18,Carmine St & 6 Ave,40.730385,-74.002149,25634,0.75
19,E 33 St & 1 Ave,40.743226,-73.974497,25617,0.75
20,8 Ave & W 38 St,40.75461,-73.99177,25409,0.75
21,Pier 40 - Hudson River Park,40.727714,-74.011295,25248,0.7
22,8 Ave & W 33 St,40.751551,-73.993934,25226,0.7
23,6 Ave & W 33 St,40.749012,-73.988483,25196,0.7
24,1 Ave & E 39 St,40.74714,-73.97113,25057,0.7
25,Broadway & E 14 St,40.734545,-73.990741,25044,0.7
26,W 34 St & 11 Ave,40.755941,-74.002116,25000,0.7
27,W 22 St & 10 Ave,40.746919,-74.004518,24873,0.7
28,11 Ave & W 41 St,40.7603,-73.998842,24324,0.7
29,E 10 St & Avenue A,40.727407,-73.98142,24049,0.7
30,Central Park West & W 72 St,40.775793,-73.976205,23588,0.7
31,Washington St & Gansevoort St,40.739323,-74.008119,23374,0.65
32,5 Ave & E 72 St,40.772828,-73.966852,23371,0.65
33,W 49 St & 8 Ave,40.762272,-73.987882,23192,0.65
34,Broadway & W 60 St,40.769155,-73.981918,22977,0.65
35,W 41 St & 8 Ave,40.756405,-73.990026,22857,0.65
36,Central Park West & W 68 St,40.773406,-73.977825,22793,0.65
37,E 6 St & Avenue B,40.724537,-73.981854,22399,0.65
38,W 24 St & 7 Ave,40.744876,-73.995298,22329,0.65
39,W 27 St & 7 Ave,40.746647,-73.993915,22086,0.65
40,Greenwich Ave & 8 Ave,40.739016,-74.002637,22021,0.65
41,Clinton St & Grand St,40.715595,-73.987029,21920,0.65
42,E 27 St & 1 Ave,40.739445,-73.976806,21777,0.65
43,W 43 St & 10 Ave,40.760094,-73.994618,21718,0.6
44,Grand Army Plaza & Central Park S,40.764397,-73.973714,21654,0.6
45,W 31 St & 7 Ave,40.749156,-73.9916,21553,0.6
46,W 4 St & 7 Ave S,40.734011,-74.002938,21474,0.6
47,University Pl & E 8 St,40.731437,-73.994903,21453,0.6
48,1 Ave & E 16 St,40.732218,-73.981655,21264,0.6
49,Columbus Ave & W 72 St,40.777057,-73.978984,21177,0.6
50,S 5 Pl & S 5 St,40.710451,-73.960876,21092,0.6
51,W 59 St & 10 Ave,40.770513,-73.988038,21083,0.6
52,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,20913,0.6
53,E 31 St & 3 Ave,40.743943,-73.97966,20854,0.6
54,1 Ave & E 78 St,40.771404,-73.953516,20853,0.6
55,Amsterdam Ave & W 73 St,40.779668,-73.98093,20830,0.6
56,Broadway & W 51 St,40.762288,-73.983361,20777,0.6
57,E 7 St & Avenue A,40.726217,-73.983798,20724,0.6
58,FDR Drive & E 35 St,40.744219,-73.971212,20496,0.6
59,W 20 St & 10 Ave,40.745686,-74.005141,20401,0.6
60,1 Ave & E 62 St,40.761227,-73.96094,20380,0.6
61,W 63 St & Broadway,40.771638,-73.982614,20272,0.6
62,Lafayette St & E 8 St,40.730206,-73.991026,20250,0.6
63,E 25 St & 2 Ave,40.739126,-73.979737,20153,0.6
64,Allen St & Stanton St,40.722055,-73.989111,20066,0.6
65,West End Ave & W 60 St,40.77237,-73.99005,20001,0.6
66,W 33 St & 7 Ave,40.750199,-73.99093,19855,0.55
67,W 55 St & 6 Ave,40.763189,-73.978434,19839,0.55
68,E 20 St & 2 Ave,40.735876,-73.98205,19725,0.55
69,1 Ave & E 18 St,40.733812,-73.980544,19683,0.55
70,E 15 St & 3 Ave,40.734232,-73.986923,19679,0.55
71,10 Ave & W 28 St,40.750663,-74.001768,19666,0.55
72,Stanton St & Norfolk St,40.720747,-73.986274,19575,0.55
73,E 2 St & Avenue B,40.722174,-73.983687,19574,0.55
74,Central Park West & W 85 St,40.78476,-73.969862,19531,0.55
75,Christopher St & Greenwich St,40.732915,-74.007113,19253,0.55
76,Canal St & Rutgers St,40.714274,-73.9899,19153,0.55
77,S 4 St & Wythe Ave,40.712858,-73.965902,19029,0.55
78,2 Ave & E 31 St,40.742909,-73.97706,19005,0.55
79,W 22 St & 8 Ave,40.744751,-73.999153,18582,0.55
80,Mott St & Prince St,40.723179,-73.9948,18411,0.55
81,W 26 St & 8 Ave,40.747348,-73.997235,18384,0.55
82,9 Ave & W 45 St,40.760192,-73.991255,18348,0.55
83,E 13 St & 2 Ave,40.731539,-73.985302,18335,0.55
84,W 20 St & 7 Ave,40.742387,-73.997262,18222,0.55
85,Norfolk St & Broome St,40.717227,-73.98802,18143,0.55
86,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,18126,0.5
87,Lafayette St & Jersey St,40.72456,-73.995652,18065,0.5
88,St Marks Pl & 2 Ave,40.728418,-73.987139,17899,0.5
89,Kent Ave & N 7 St,40.720367,-73.96165,17881,0.5
90,Allen St & Rivington St,40.720195,-73.989978,17727,0.5
91,11 Ave & W 27 St,40.751396,-74.005226,17712,0.5
92,Little West St & 1 Pl,40.705692,-74.016776,17711,0.5
