date,avg_perc,year
2021-06-13,39.098366,2021
2021-06-14,3.9208426,2021
2021-06-15,-8.744538,2021
2021-06-16,0.48163128,2021
2021-06-17,15.730643,2021
2021-06-18,37.345158,2021
2021-06-19,35.96853,2021
2021-06-20,38.775154,2021
2021-06-21,6.8523073,2021
2021-06-22,-23.736055,2021
2021-06-23,-10.78086,2021
2021-06-24,9.6376915,2021
2021-06-25,17.305548,2021
2021-06-26,24.402775,2021
2021-06-27,25.392479,2021
2021-06-28,3.3152966,2021
2021-06-29,-9.482048,2021
2021-06-30,-21.289392,2021
