date,avg_perc
2021-03-01,12.356911
2021-03-02,-4.524335
2021-03-03,13.337556
2021-03-04,11.360973
2021-03-05,12.986324
2021-03-06,29.054005
2021-03-07,42.818302
2021-03-08,15.30505
2021-03-09,8.302794
2021-03-10,20.01159
2021-03-11,28.90651
2021-03-12,41.97888
2021-03-13,48.786648
2021-03-14,33.141434
2021-03-15,-8.503394
2021-03-16,-13.023409
2021-03-17,-6.569364
2021-03-18,-1.3594497
2021-03-19,8.972858
2021-03-20,51.635624
2021-03-21,99.11043
2021-03-22,35.696922
2021-03-23,20.007391
2021-03-24,-18.324793
2021-03-25,35.72111
2021-03-26,41.42112
2021-03-27,81.20158
2021-03-28,27.852308
2021-03-29,20.514788
2021-03-30,-6.349247
2021-03-31,10.873247
2021-04-01,17.649824
2021-04-02,13.038722
2021-04-03,39.317234
2021-04-04,52.578354
2021-04-05,46.033344
2021-04-06,-5.5004306
2021-04-07,-5.5218534
2021-04-08,16.645279
2021-04-09,29.884035
2021-04-10,51.503353
2021-04-11,12.347547
2021-04-12,-4.5878844
2021-04-13,-10.984934
2021-04-14,-6.629234
2021-04-15,0.82158697
2021-04-16,3.0073886
2021-04-17,31.621712
2021-04-18,46.12712
2021-04-19,2.1678996
2021-04-20,12.149965
2021-04-21,-23.652107
2021-04-22,1.2613341
2021-04-23,3.807387
2021-04-24,33.276646
2021-04-25,24.736946
2021-04-26,24.184267
2021-04-27,-5.7896852
2021-04-28,24.387802
2021-04-29,7.252592
2021-04-30,14.050071
2021-05-01,51.81138
2021-05-02,43.247093
2021-05-03,7.0650325
2021-05-04,-5.1994224
2021-05-05,9.409256
2021-05-06,10.316539
2021-05-07,9.784612
2021-05-08,6.438316
2021-05-09,29.405546
2021-05-10,3.4479823
2021-05-11,-15.405771
2021-05-12,36.169346
2021-05-13,48.99373
2021-05-14,42.78837
2021-05-15,37.852375
2021-05-16,29.922062
2021-05-17,13.66708
2021-05-18,-8.043142
2021-05-19,-8.732482
2021-05-20,10.455705
2021-05-21,18.13397
2021-05-22,33.124264
2021-05-23,43.688248
2021-05-24,-0.27578533
2021-05-25,-12.912251
2021-05-26,-18.800432
2021-05-27,-14.538076
2021-05-28,10.75514
2021-05-29,6.557557
2021-05-30,-4.105443
2021-05-31,25.856314
2021-06-01,-9.256781
2021-06-02,-11.117574
2021-06-03,-5.7571034
2021-06-04,4.205526
2021-06-05,34.87599
2021-06-06,28.540295
2021-06-07,5.865594
2021-06-08,-19.580057
2021-06-09,-15.488246
2021-06-10,33.876766
2021-06-11,6.3293076
2021-06-12,26.240414
2021-06-13,39.098366
2021-06-14,3.9208426
2021-06-15,-8.744538
2021-06-16,0.48163128
2021-06-17,15.730643
2021-06-18,37.345158
2021-06-19,35.96853
2021-06-20,38.775154
2021-06-21,6.8523073
2021-06-22,-23.736055
2021-06-23,-10.78086
2021-06-24,9.6376915
2021-06-25,17.305548
2021-06-26,24.402775
2021-06-27,25.392479
2021-06-28,3.3152966
2021-06-29,-9.482048
2021-06-30,-21.289392
